"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Neurological disease prediction using ensembled Machine Learning Model","S. Kaur; H. Aggarwal; R. Rani","Punjabi University,Computer Science and Engineering Department,Patiala,India; Punjabi University,Computer Science and Engineering Department,Patiala,India; Punjabi University,Computer Science and Engineering Department,Patiala,India","2020 Sixth International Conference on Parallel, Distributed and Grid Computing (PDGC)","15 Jan 2021","2020","","","410","414","Alzheimer's disease is irreparable neurological damage caused to the cognitive functioning of the human body. A previous diagnosis of Alzheimer's will help to deal with the cure of this disease. Studies supporting the ailment have applied many mathematical and machine learning models. Magnetic resonance imaging is a normal procedure involved in the clinical diagnosis of the disease. However, there are a few challenges to its diagnosis due to variations in its MRI samples and their stability concerning the healthy people. Presently, to assess fundamental brain shifts in magneto resonance imaging (MRI), deep learning methods have been used. Because of its excellent performance in automatic features processing a convolution neural network has become popular with a variety of multilayer perceptrons. Moreover, Ensemble Learning (EL) proved its advantages by integrating several models into the learning system's robustness. Here, we propose a collaborative technique concerning Ensemble learning designed for classifying healthy or Alzheimer's disease people with the help of MR images. We carried out detailed experiments to demonstrate our approach to the open-access sequence of image datasets that outperformed a comparative approach.","2573-3079","978-1-7281-7132-6","10.1109/PDGC50313.2020.9315758","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9315758","Alzheimer's disease;Transfer Learning;Ensemble Learning;VGG-16;Machine learning","Diseases;Alzheimer's disease;Magnetic resonance imaging;Training;Testing;Computational modeling;Handheld computers","biomedical MRI;brain;cognition;diseases;image classification;learning (artificial intelligence);medical image processing;multilayer perceptrons;neurophysiology","ensemble learning;MR images;image datasets;neurological disease prediction;ensembled machine;irreparable neurological damage;cognitive functioning;human body;mathematical machine learning models;magnetic resonance imaging;clinical diagnosis;MRI samples;healthy people;fundamental brain shifts;deep learning methods;convolution neural network;Alzheimer disease people;multilayer perceptrons","","","","33","","15 Jan 2021","","","IEEE","IEEE Conferences"
"Dynamic PET Image Denoising With Deep Learning-Based Joint Filtering","Y. He; S. Cao; H. Zhang; H. Sun; F. Wang; H. Zhu; W. Lv; L. Lu","School of Biomedical Engineering, Southern Medical University, Guangzhou, China; School of Biomedical Engineering, Southern Medical University, Guangzhou, China; School of Biomedical Engineering, Southern Medical University, Guangzhou, China; School of Biomedical Engineering, Southern Medical University, Guangzhou, China; Department of Nuclear Medicine, WeiLun PET Center, Guangdong Provincial People’s Hospital and Guangdong Academy of Medical Sciences, Guangzhou, China; School of Biomedical Engineering, Southern Medical University, Guangzhou, China; School of Biomedical Engineering, Southern Medical University, Guangzhou, China; School of Biomedical Engineering, Southern Medical University, Guangzhou, China","IEEE Access","19 Mar 2021","2021","9","","41998","42012","Dynamic positron emission tomography (PET) imaging usually suffers from high statistical noise due to low counts of the short frames. This study aims to improve the image quality of the short frames by utilizing information from other modality. We develop a deep learning-based joint filtering framework for simultaneously incorporating information from longer acquisition PET frames and high-resolution magnetic resonance (MR) images into the short frames. The network inputs are noisy PET images and corresponding MR images while the outputs are linear coefficients of spatially variant linear representation model. The composite of all dynamic frames is used as training label in each sample, and it is down-sampled to 1/10th of counts as the training input. L1-norm combined with two gradient-based regularizations constitute the loss function during training. Ten realistic dynamic PET/MR phantoms based on BrainWeb are used for pre-training and eleven clinical subjects from Alzheimer’s Disease Neuroimaging Initiative further for fine-tuning. Simulation results show that the proposed method can reduce the statistical noise while preserving image details and achieve quantitative enhancements compared with Gaussian, guided filter, and convolutional neural network trained with the mean squared error. The clinical results perform better than others in terms of the mean activity and standard deviation. All of the results indicate that the proposed deep learning-based joint filtering framework is of great potential for dynamic PET image denoising.","2169-3536","","10.1109/ACCESS.2021.3064926","National Natural Science Foundation of China; Guangdong Basic and Applied Basic Research Foundation; China Postdoctoral Science Foundation Funded Project; Guangdong Province Universities and Colleges Pearl River Scholar Funded Scheme; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9373391","Positron emission tomography;convolution neural network;denoising;spatially variant linear representation model;joint filtering","Positron emission tomography;Training;Convolution;Image edge detection;Nonlinear filters;Maximum likelihood detection;Artificial neural networks","","","","","","34","CCBY","9 Mar 2021","","","IEEE","IEEE Journals"
"MuscNet, a Weighted Voting Model of Multi-Source Connectivity Networks to Predict Mild Cognitive Impairment Using Resting-State Functional MRI","J. Li; Z. Yao; M. Duan; S. Liu; F. Li; H. Zhu; Z. Xia; L. Huang; F. Zhou","BioKnow Health Informatics Laboratory, College of Software, Jilin University, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; BioKnow Health Informatics Laboratory, College of Software, Jilin University, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; BioKnow Health Informatics Laboratory, College of Software, Jilin University, Changchun, China","IEEE Access","29 Sep 2020","2020","8","","174023","174031","The neurological disorder mild cognitive impairment (MCI) demonstrates minor impacts on the patient's daily activities and may be ignored as the status of normal aging. But some of the MCI patients may further develop into severe statuses like Alzheimer's disease (AD). The brain functional connectivity network (BFCN) was usually constructed from the resting-state functional magnetic resonance imaging (rs-fMRI) data. This technology has been widely used to detect the neurodegenerative dementia and to reveal the intrinsic mechanism of neural activities. The BFCN edge was usually determined by the pairwise correlation between the brain regions. This study proposed a weighted voting model of multi-source connectivity networks (MuscNet) by integrating multiple BFCNs of different correlation coefficients. Our model was further improved by removing redundant features. The experimental data demonstrated that different BFCNs contributed complementary information to each other and MuscNet outperformed the existing models on detecting MCI patients. The previous study suggested the existence of multiple solutions with similarly good performance for a machine learning problem. The proposed model MuscNet utilized a weighted voting strategy to slightly outperform the existing studies, suggesting an effective way to fuse multiple base models. The reason may need further theoretical investigations about why different base models contribute to each other for the MCI prediction.","2169-3536","","10.1109/ACCESS.2020.3025828","Jilin Provincial Key Laboratory of Big Data Intelligent Computing; Education Department of Jilin Province; Startup Grant of Jilin University; Bioknow MedAI Institute; High-Performance Computing Center, Jilin University; Fundamental Research Funds for the Central Universities, Jilin University; Alzheimer’s Disease Neuroimaging Initiative (ADNI), National Institutes of Health; Department of Defense (DOD ADNI); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9203784","Mild cognitive impairment;Alzheimer’s disease;resting-state functional MRI;brain functional connectivity network;multi-source connectivity network;weighted voting model;MuscNet","Correlation;Correlation coefficient;Brain modeling;Measurement;Dementia;Time series analysis","biomedical MRI;brain;cognition;diseases;medical image processing;neural nets;neurophysiology","MCI prediction;weighted voting model;multisource connectivity networks;mild cognitive impairment;resting-state functional MRI;neurological disorder;Alzheimer's disease;brain functional connectivity network;resting-state functional magnetic resonance imaging;neural activities;BFCN edge;MuscNet;rs-fMRI data","","","","40","CCBY","22 Sep 2020","","","IEEE","IEEE Journals"
"Multi-Scale Time-Series Kernel-Based Learning Method for Brain Disease Diagnosis","Z. Zhang; J. Ding; J. Xu; J. Tang; F. Guo","College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China; College of Intelligence and Computing, Tianjin University, Tianjin, China","IEEE Journal of Biomedical and Health Informatics","5 Jan 2021","2021","25","1","209","217","The functional magnetic resonance imaging (fMRI) is a noninvasive technique for studying brain activity, such as brain network analysis, neural disease automated diagnosis and so on. However, many existing methods have some drawbacks, such as limitations of graph theory, lack of global topology characteristic, local sensitivity of functional connectivity, and absence of temporal or context information. In addition to many numerical features, fMRI time series data also cover specific contextual knowledge and global fluctuation information. Here, we propose multi-scale time-series kernel-based learning model for brain disease diagnosis, based on Jensen-Shannon divergence. First, we calculate correlation value within and between brain regions over time. In addition, we extract multi-scale synergy expression probability distribution (interactional relation) between brain regions. Also, we produce state transition probability distribution (sequential relation) on single brain regions. Then, we build time-series kernel-based learning model based on Jensen-Shannon divergence to measure similarity of brain functional connectivity. Finally, we provide an efficient system to deal with brain network analysis and neural disease automated diagnosis. On Alzheimer's Disease Neuroimaging Initiative (ADNI) dataset, our proposed method achieves accuracy of 0.8994 and AUC of 0.8623. On Major Depressive Disorder (MDD) dataset, our proposed method achieves accuracy of 0.9166 and AUC of 0.9263. Experiments show that our proposed method outperforms other existing excellent neural disease automated diagnosis approaches. It shows that our novel prediction method performs great accurate for identification of brain diseases as well as existing outstanding prediction tools.","2168-2208","","10.1109/JBHI.2020.2983456","National Natural Science Foundation of China; National Key Research and Development Program of China Stem Cell and Translational Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9050815","Functional magnetic resonance imaging;time-series kernel;disease diagnosis;alzheimeris disease;major depressive disorder;Jensen-Shannon divergence","Time series analysis;Probability distribution;Functional magnetic resonance imaging;Diseases;Kernel;Correlation;Brain","biomedical MRI;brain;diseases;learning (artificial intelligence);medical disorders;medical image processing;neural nets;neurophysiology;probability;time series","brain disease diagnosis;functional magnetic resonance imaging;brain network;fMRI time series;global fluctuation;Jensen-Shannon divergence;multiscale synergy expression probability distribution;state transition probability distribution;single brain;brain functional connectivity;multiscale time-series kernel-based learning;neural disease automated diagnosis;interactional relation;sequential relation;Alzheimer's disease neuroimaging initiative dataset;ADNI dataset;major depressive disorder dataset;MDD dataset","","","","62","IEEE","30 Mar 2020","","","IEEE","IEEE Journals"
"Early Diagnosis of Alzheimer's Disease Based on Resting-State Brain Networks and Deep Learning","R. Ju; C. Hu; p. zhou; Q. Li","Huazhong University of Science and Technology, Wuhan, Hubei, China; Harvard University, Cambridge, MA; Huazhong University of Science and Technology, Wuhan, Hubei, China; Massachusetts General Hospital and Harvard Medical School, Boston, MA","IEEE/ACM Transactions on Computational Biology and Bioinformatics","5 Feb 2019","2019","16","1","244","257","Computerized healthcare has undergone rapid development thanks to the advances in medical imaging and machine learning technologies. Especially, recent progress on deep learning opens a new era for multimedia based clinical decision support. In this paper, we use deep learning with brain network and clinical relevant text information to make early diagnosis of Alzheimer's Disease (AD). The clinical relevant text information includes age, gender, and $ApoE$ gene of the subject. The brain network is constructed by computing the functional connectivity of brain regions using resting-state functional magnetic resonance imaging (R-fMRI) data. A targeted autoencoder network is built to distinguish normal aging from mild cognitive impairment, an early stage of AD. The proposed method reveals discriminative brain network features effectively and provides a reliable classifier for AD detection. Compared to traditional classifiers based on R-fMRI time series data, about 31.21 percent improvement of the prediction accuracy is achieved by the proposed deep learning method, and the standard deviation reduces by 51.23 percent in the best case that means our prediction model is more stable and reliable compared to the traditional methods. Our work excavates deep learning's advantages of classifying high-dimensional multimedia data in medical services, and could help predict and prevent AD at an early stage.","1557-9964","","10.1109/TCBB.2017.2776910","National Natural Science Foundation of China; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8119531","Brain network;deep learning;early diagnosis;Alzheimer's disease","Machine learning;Feature extraction;Brain;Dementia;Correlation","","","Aged;Aged, 80 and over;Alzheimer Disease;Brain;Brain Mapping;Deep Learning;Early Diagnosis;Female;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Male;Middle Aged","9","","46","","23 Nov 2017","","","IEEE","IEEE Journals"
"A Mixed-Effects Model for Detecting Disrupted Connectivities in Heterogeneous Data","D. Bhaumik; F. Jie; R. Nordgren; R. Bhaumik; B. K. Sinha","Department of Psychiatry, Division of Epidemiology and Biostatistics, University of Illinois at Chicago, Chicago, IL, USA; University of Illinois at Chicago, Chicago, IL, USA; Department of Psychiatry, Division of Epidemiology and Biostatistics, University of Illinois at Chicago, Chicago, IL, USA; Department of Psychiatry, University of Illinois at Chicago, Chicago, IL, USA; Indian Statistical Institute, Calcutta, India","IEEE Transactions on Medical Imaging","29 Oct 2018","2018","37","11","2381","2389","The human brain is an amazingly complex network. Aberrant activities in this network can lead to various neurological disorders such as multiple sclerosis, Parkinson's disease, Alzheimer's disease, and autism. functional magnetic resonance imaging has emerged as an important tool to delineate the neural networks affected by such diseases, particularly autism. In this paper, we propose a special type of mixed-effects model together with an appropriate procedure for controlling false discoveries to detect disrupted connectivities for developing a neural network in whole brain studies. Results are illustrated with a large data set known as autism brain imaging data exchange which includes 361 subjects from eight medical centers.","1558-254X","","10.1109/TMI.2018.2821655","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8328840","False discovery rate;functional magnetic resonance imaging;mixed-effects models","Autism;Functional magnetic resonance imaging;Data models;Feature extraction;Analytical models;Brain modeling;Electronic mail","biomedical MRI;brain;diseases;medical disorders;medical image processing;neurophysiology","autism brain imaging data exchange;functional magnetic resonance imaging;Alzheimer's disease;Parkinson's disease;multiple sclerosis;neurological disorders;human brain;brain studies;neural network","Autistic Disorder;Brain;Databases, Factual;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Models, Statistical;Nerve Net;Neuroimaging","","","36","","30 Mar 2018","","","IEEE","IEEE Journals"
"Non-Euclidean, convolutional learning on cortical brain surfaces","M. Mostapha; S. Kim; G. Wu; L. Zsembik; S. Pizer; M. Styner","Department of Computer Science, University of North Carolina at Chapel Hill, USA; Department of Psychiatry, University of North Carolina at Chapel Hill, USA; Department of Radiology, University of North Carolina at Chapel Hill, USA; Department of Psychiatry, University of North Carolina at Chapel Hill, USA; Department of Computer Science, University of North Carolina at Chapel Hill, USA; Department of Computer Science, University of North Carolina at Chapel Hill, USA","2018 IEEE 15th International Symposium on Biomedical Imaging (ISBI 2018)","24 May 2018","2018","","","527","530","In recent years there have been many studies indicating that multiple cortical features, extracted at each surface vertex, are promising in the detection of various neurodevelopmental and neurodegenerative diseases. However, with limited datasets, it is challenging to train stable classifiers with such high-dimensional surface data. This necessitates a feature reduction that is commonly accomplished via regional volumetric morphometry from standard brain atlases. However, current regional summaries are not specific to the given age or pathology that is studied, which runs the risk of losing relevant information that can be critical in the classification process. To solve this issue, this paper proposes a novel data-driven approach by extending convolutional neural networks (CNN) for use on non-Euclidean manifolds such as cortical surfaces. The proposed network learns the most powerful features and brain regions from the extracted large dimensional feature space; thus creating a new feature space in which the dimensionality is reduced and feature distributions are better separated. We demonstrate the usability of the proposed surface-CNN framework in an example study classifying Alzheimers disease patients versus normal controls. The high performance in the cross-validation diagnostic results shows the potential of our proposed prediction system.","1945-8452","978-1-5386-3636-7","10.1109/ISBI.2018.8363631","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8363631","MRI;Cortical Surfaces;Alzheimer's Disease;Deep Learning;Convolutional Neural Network","Feature extraction;Kernel;Surface reconstruction;Surface treatment;Manifolds;Diseases;Level measurement","biomedical MRI;brain;convolution;diseases;feature extraction;feedforward neural nets;image classification;learning (artificial intelligence);medical image processing;neurophysiology","convolutional learning;cortical brain surfaces;multiple cortical features;surface vertex;neurodevelopmental diseases;neurodegenerative diseases;datasets;stable classifiers;high-dimensional surface data;feature reduction;regional volumetric morphometry;standard brain atlases;classification process;convolutional neural networks;nonEuclidean manifolds;cortical surfaces;brain regions;dimensionality;feature distributions;surface-CNN framework;Alzheimers disease patients;large dimensional feature space","","","","14","","24 May 2018","","","IEEE","IEEE Conferences"
"Novel Effective Connectivity Inference Using Ultra-Group Constrained Orthogonal Forward Regression and Elastic Multilayer Perceptron Classifier for MCI Identification","Y. Li; H. Yang; B. Lei; J. Liu; C. -Y. Wee","Beijing Advanced Innovation Center for Big Data and Brain Computing, Beihang University, Beijing, China; School of Automation Sciences and Electrical Engineering, Beihang University, Beijing, China; Health Science Center, Shenzhen University, Shenzhen, China; School of Automation Sciences and Electrical Engineering, Beihang University, Beijing, China; Department of Biomedical Engineering, National University of Singapore, Singapore","IEEE Transactions on Medical Imaging","1 May 2019","2019","38","5","1227","1239","Mild cognitive impairment (MCI) detection is important, such that appropriate interventions can be imposed to delay or prevent its progression to severe stages, including Alzheimer's disease (AD). Brain connectivity network inferred from the functional magnetic resonance imaging data has been prevalently used to identify the individuals with MCI/AD from the normal controls. The capability to detect the causal or effective connectivity is highly desirable for understanding directed functional interactions between brain regions and further helping the detection of MCI. In this paper, we proposed a novel sparse constrained effective connectivity inference method and an elastic multilayer perceptron classifier for MCI identification. Specifically, a ultra-group constrained structure detection algorithm is first designed to identify the parsimonious topology of the effective connectivity network, in which the weak derivatives of the observable data are considered. Second, based on the identified topology structure, an effective connectivity network is then constructed by using an ultra-orthogonal forward regression algorithm to minimize the shrinking effect of the group constraint-based method. Finally, the effective connectivity network is validated in MCI identification using an elastic multilayer perceptron classifier, which extracts lower to higher level information from initial input features and hence improves the classification performance. Relatively high classification accuracy is achieved by the proposed method when compared with the state-of-the-art classification methods. Furthermore, the network analysis results demonstrate that MCI patients suffer a rich club effect loss and have decreased connectivity among several brain regions. These findings suggest that the proposed method not only improves the classification performance but also successfully discovers critical disease-related neuroimaging biomarkers.","1558-254X","","10.1109/TMI.2018.2882189","National Natural Science Foundation of China; Minjiang University; Natural Science Foundation of Beijing Municipality; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8540933","Functional imaging;brain;computer-aided detection and diagnosis;connectivity analysis;machine learning","Feature extraction;Time series analysis;Functional magnetic resonance imaging;Diseases;Multilayer perceptrons;Classification algorithms;Data mining","biomedical MRI;cognition;diseases;medical image processing;multilayer perceptrons;network theory (graphs);neurophysiology;object detection;pattern classification;regression analysis;sparse matrices","ultra-group constrained orthogonal forward regression;elastic multilayer perceptron classifier;MCI identification;mild cognitive impairment detection;brain connectivity network;functional magnetic resonance imaging data;ultra-group constrained structure detection algorithm;MCI patients;MCI-AD;Alzheimer's disease;sparse constrained effective connectivity inference method;parsimonious topology;neuroimaging biomarkers","Algorithms;Alzheimer Disease;Brain;Cognitive Dysfunction;Databases, Factual;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Neural Networks, Computer","3","","45","","20 Nov 2018","","","IEEE","IEEE Journals"
"Impact of MRI Protocols on Alzheimer's Disease Detection","S. Alam; L. Hamey; K. Ho-Shon","Dept of Computing, Macquarie University, Sydney, Australia; Dept of Computing, Macquarie University, Sydney, Australia; Dept of Clinical Medicine, Macquarie University, Sydney, Australia","2018 Digital Image Computing: Techniques and Applications (DICTA)","17 Jan 2019","2018","","","1","8","Alzheimer's disease (AD) can be detected using magnetic resonance imaging (MRI) based features and supervised classifiers. The subcortical and ventricular volumes change for AD patients. These volumes can be extracted from MRI by tools such as FreeSurfer and the multi-atlas-based likelihood fusion (MALF) algorithm. Studies use MRI from many medical imaging centers. However, individual centers typically use distinctive MRI protocols for brain scanning. The protocol differences include different scanner models with various operating parameters. Some scanner models have different field strengths. A key factor in classifying multicentric MR subject images having different protocols is how different scanner models affect the extraction of feature, and the subsequent classification performance of a supervised classifier. We have investigated the classification performance of FreeSurfer and MALF based volume features together with Radial Basis Function Support Vector Machine and Extreme Learning Machine across different imaging protocols. We have also investigated for both FreeSurfer and MALF, which brain regions are most effective for the detection of the disease under different protocols. Our study result indicates marginal differences in classification performance across scanner models with the same or different field strengths when differentiating AD, Mild Cognitive Impairment, and Normal Controls. We have also observed differences in ranking order of the most effective brain regions.","","978-1-5386-6602-9","10.1109/DICTA.2018.8615774","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615774","AD;MCI;CN;MALF;ROI;FreeSurfer","Magnetic resonance imaging;Protocols;Feature extraction;Brain modeling;Support vector machines;Dementia","biomedical MRI;brain;cognition;diseases;feature extraction;image classification;image segmentation;learning (artificial intelligence);medical image processing;neurophysiology;patient diagnosis;radial basis function networks;support vector machines","magnetic resonance imaging based features;supervised classifier;subcortical volumes change;ventricular volumes change;FreeSurfer;multiatlas-based likelihood fusion algorithm;medical imaging centers;individual centers;distinctive MRI protocols;brain scanning;protocol differences;subsequent classification performance;MALF based volume features;disease;marginal differences;Alzheimer's disease;scanner models;radial basis function support vector machine;imaging protocols;field strengths","","","","48","","17 Jan 2019","","","IEEE","IEEE Conferences"
"Anatomical Landmark Based Deep Feature Representation for MR Images in Brain Disease Diagnosis","M. Liu; J. Zhang; D. Nie; P. -T. Yap; D. Shen","Department of Radiology and BRIC, University of North Carolina, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina, Chapel Hill, NC, USA; Department of Radiology and BRIC, University of North Carolina, Chapel Hill, NC, USA","IEEE Journal of Biomedical and Health Informatics","10 Aug 2018","2018","22","5","1476","1485","Most automated techniques for brain disease diagnosis utilize hand-crafted (e.g., voxel-based or region-based) biomarkers from structural magnetic resonance (MR) images as feature representations. However, these hand-crafted features are usually high-dimensional or require regions-of-interest defined by experts. Also, because of possibly heterogeneous property between the hand-crafted features and the subsequent model, existing methods may lead to sub-optimal performances in brain disease diagnosis. In this paper, we propose a landmark-based deep feature learning (LDFL) framework to automatically extract patch-based representation from MRI for automatic diagnosis of Alzheimer's disease. We first identify discriminative anatomical landmarks from MR images in a data-driven manner, and then propose a convolutional neural network for patch-based deep feature learning. We have evaluated the proposed method on subjects from three public datasets, including the Alzheimer's disease neuroimaging initiative (ADNI-1), ADNI-2, and the minimal interval resonance imaging in alzheimer's disease (MIRIAD) dataset. Experimental results of both tasks of brain disease classification and MR image retrieval demonstrate that the proposed LDFL method improves the performance of disease classification and MR image retrieval.","2168-2208","","10.1109/JBHI.2018.2791863","National Institutes of Health; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8253440","Anatomical landmarks;convolutional neural network;classification;image retrieval;brain disease diagnosis","Feature extraction;Training;Dementia;Testing;Image retrieval","biomedical MRI;brain;diseases;feature extraction;image classification;image representation;image retrieval;learning (artificial intelligence);medical image processing;neural nets;neurophysiology","deep feature representation;MR images;brain disease diagnosis;structural magnetic resonance images;hand-crafted features;landmark-based deep feature learning framework;patch-based deep feature learning;Alzheimer's disease neuroimaging initiative;brain disease classification;MR image retrieval;MIRIAD dataset;convolutional neural network","Aged;Aged, 80 and over;Algorithms;Anatomic Landmarks;Brain;Brain Diseases;Female;Humans;Image Interpretation, Computer-Assisted;Magnetic Resonance Imaging;Male;Middle Aged;Neuroimaging","22","","49","","10 Jan 2018","","","IEEE","IEEE Journals"
"Deep Residual Inception Encoder–Decoder Network for Medical Imaging Synthesis","F. Gao; T. Wu; X. Chu; H. Yoon; Y. Xu; B. Patel","Industrial Engineering Program, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA; Industrial Engineering Program, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA; College of Management, Institute of Big Data Intelligent Management and Decision, Shenzhen University, Shenzhen, China; Industrial Engineering Program, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA; Industrial Engineering Program, School of Computing, Informatics, and Decision Systems Engineering, Arizona State University, Tempe, AZ, USA; Department of Radiology, Mayo Clinic in Arizona, Scottsdale, AZ, USA","IEEE Journal of Biomedical and Health Informatics","3 Jan 2020","2020","24","1","39","49","Image synthesis is a novel solution in precision medicine for scenarios where important medical imaging is not otherwise available. The convolutional neural network (CNN) is an ideal model for this task because of its powerful learning capabilities through the large number of layers and trainable parameters. In this research, we propose a new architecture of residual inception encoder- decoder neural network (RIED-Net) to learn the nonlinear mapping between the input images and targeting output images. To evaluate the validity of the proposed approach, it is compared with two models from the literature: synthetic CT deep convolutional neural network (sCT-DCNN) and shallow CNN, using both an institutional mammogram dataset from Mayo Clinic Arizona and a public neuroimaging dataset from the Alzheimer's Disease Neuroimaging Initiative. Experimental results show that the proposed RIED-Net outperforms the two models on both datasets significantly in terms of structural similarity index, mean absolute percent error, and peak signal-to-noise ratio.","2168-2208","","10.1109/JBHI.2019.2912659","Alzheimer's Disease Neuroimaging Initiative (ADNI); National Institutes of Health; DOD ADNI; U.S. Department of Defense; National Institute on Aging; National Institute of Biomedical Imaging and Bioengineering; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8695110","Deep learning;image synthesis;inception;medical imaging and residual net","Image segmentation;Biomedical imaging;Task analysis;Image generation;Magnetic resonance imaging;Tumors","biomedical imaging;convolutional neural nets;diseases;learning (artificial intelligence);mammography;medical image processing","trainable parameters;residual inception encoder- decoder neural network;nonlinear mapping;input images;targeting output images;synthetic CT deep convolutional neural network;shallow CNN;institutional mammogram dataset;public neuroimaging dataset;RIED-Net outperforms;deep residual inception encoder-decoder network;medical imaging synthesis;image synthesis;precision medicine;important medical imaging;ideal model;powerful learning capabilities","Algorithms;Databases, Factual;Deep Learning;Humans;Image Processing, Computer-Assisted;Mammography;Neuroimaging","2","","53","IEEE","22 Apr 2019","","","IEEE","IEEE Journals"
"Enriching Statistical Inferences on Brain Connectivity for Alzheimer's Disease Analysis via Latent Space Graph Embedding","X. Ma; G. Wu; W. H. Kim","University of Texas at Arlington,Department of Computer Science and Engineering; University of North Carolina - Chapel Hill,Department of Computer Science; University of Texas at Arlington,Department of Computer Science and Engineering","2020 IEEE 17th International Symposium on Biomedical Imaging (ISBI)","22 May 2020","2020","","","1685","1689","We develop a graph node embedding Deep Neural Network that leverages statistical outcome measure and graph structure given in the data. The objective is to identify regions of interests (ROIs) in the brain that are affected by topological changes of brain connectivity due to specific neurodegenerative diseases by enriching statistical group analysis. We tackle this problem by learning a latent space where statistical inference can be made more effectively. Our experiments on a large-scale Alzheimer's Disease dataset show promising result identifying ROIs that show statistically significant group differences separating even early and late Mild Cognitive Impairment (MCI) groups whose effect sizes are very subtle.","1945-8452","978-1-5386-9330-8","10.1109/ISBI45749.2020.9098641","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9098641","Brain Connectivity;Alzheimer's Disease;Group Analysis;Statistical Inference","Dementia;Brain modeling;Imaging;Biological neural networks;Indexes;Transforms","biomedical MRI;brain;cognition;diseases;graph theory;medical disorders;medical image processing;neural nets;neurophysiology;statistical analysis","deep neural network;leverages statistical outcome measure;graph structure;topological changes;brain connectivity;specific neurodegenerative diseases;statistical group analysis;statistical inference;large-scale Alzheimer's Disease dataset show;ROIs;statistically significant group differences;enriching statistical inferences;Alzheimer's disease analysis;latent space graph embedding;graph node","","","","36","","22 May 2020","","","IEEE","IEEE Conferences"
